gvkey,company,fiscal_year,datadate,revenue,net_income,total_assets,current_assets,current_liabilities,total_liabilities,shareholders_equity,roa,net_profit_margin,current_ratio,debt_to_equity,asset_turnover
003813,TARGET CORP,2025,2026-01-31,104780.0,3705.0,59490.0,20005.0,21230.0,43325.0,16165.0,0.0623,0.0354,0.9423,2.6802,1.7613
011259,WALMART INC,2016,2017-01-31,482154.0,13643.0,198825.0,57689.0,66928.0,118290.0,77798.0,0.0686,0.0283,0.862,1.5205,2.425
011259,WALMART INC,2017,2018-01-31,496785.0,9862.0,204522.0,59664.0,78521.0,123700.0,77869.0,0.0482,0.0199,0.7598,1.5886,2.429
011259,WALMART INC,2018,2019-01-31,511729.0,6670.0,219295.0,61897.0,77477.0,139661.0,72496.0,0.0304,0.013,0.7989,1.9265,2.3335
011259,WALMART INC,2019,2020-01-31,521426.0,14881.0,236495.0,61806.0,77790.0,154943.0,74669.0,0.0629,0.0285,0.7945,2.0751,2.2048
011259,WALMART INC,2020,2021-01-31,556933.0,13510.0,252496.0,90067.0,92645.0,164965.0,80925.0,0.0535,0.0243,0.9722,2.0385,2.2057
011259,WALMART INC,2021,2022-01-31,569962.0,13673.0,244860.0,81070.0,87379.0,152969.0,83253.0,0.0558,0.024,0.9278,1.8374,2.3277
011259,WALMART INC,2022,2023-01-31,608481.0,11680.0,243197.0,75655.0,92198.0,159206.0,76693.0,0.048,0.0192,0.8206,2.0759,2.502
011259,WALMART INC,2023,2024-01-31,645737.0,15511.0,252399.0,76877.0,92415.0,161828.0,83861.0,0.0615,0.024,0.8319,1.9297,2.5584
011259,WALMART INC,2024,2025-01-31,678338.0,19436.0,260823.0,79458.0,96584.0,163131.0,91013.0,0.0745,0.0287,0.8227,1.7924,2.6008
011259,WALMART INC,2025,2026-01-31,710813.0,21893.0,284668.0,84874.0,107469.0,178488.0,99617.0,0.0769,0.0308,0.7898,1.7917,2.497
